Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
124,Danny Ward,wlsWAL,GK,Leicester City,31-315,1993.0,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
125,Danny Welbeck,engENG,FW,Brighton,34-158,1990.0,20.6,9,53,20,37.7,2.58,0.97,0.17,0.45,15.2,8,0,0,8.1,8.1,0.15,0.9,0.9,Matches
126,Dara O'Shea,ieIRL,DF,Ipswich Town,26-060,1999.0,30.7,0,19,2,10.5,0.62,0.07,0.0,0.0,13.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
127,Darwin Núñez,uyURU,FW,Liverpool,25-313,1999.0,11.3,5,32,12,37.5,2.83,1.06,0.16,0.42,14.5,0,0,0,5.0,5.0,0.16,0.0,0.0,Matches
128,David Brooks,wlsWAL,"FW,MF",Bournemouth,27-299,1997.0,9.1,2,22,10,45.5,2.43,1.1,0.09,0.2,16.8,0,0,0,2.2,2.2,0.1,-0.2,-0.2,Matches
129,David Raya,esESP,GK,Arsenal,29-230,1995.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
130,Dean Henderson,engENG,GK,Crystal Palace,28-052,1997.0,34.0,0,1,0,0.0,0.03,0.0,0.0,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
131,Dean Huijsen,esESP,DF,Bournemouth,20-019,2005.0,23.8,2,17,2,11.8,0.71,0.08,0.12,1.0,12.3,0,0,0,1.7,1.7,0.1,0.3,0.3,Matches
132,Declan Rice,engENG,MF,Arsenal,26-109,1999.0,28.6,2,41,10,24.4,1.43,0.35,0.05,0.2,19.7,2,0,0,2.7,2.7,0.07,-0.7,-0.7,Matches
133,Dejan Kulusevski,seSWE,"MF,FW",Tottenham,25-008,2000.0,25.3,7,46,17,37.0,1.81,0.67,0.15,0.41,14.8,0,0,0,4.2,4.2,0.09,2.8,2.8,Matches
134,Destiny Udogie,itITA,DF,Tottenham,22-156,2002.0,20.4,0,5,1,20.0,0.25,0.05,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
135,Diego Carlos,brBRA,DF,Aston Villa,32-049,1993.0,9.2,0,4,1,25.0,0.43,0.11,0.0,0.0,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
136,Diego Gómez,pyPAR,MF,Brighton,22-037,2003.0,4.9,0,5,0,0.0,1.02,0.0,0.0,,21.5,2,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
137,Diogo Dalot,ptPOR,DF,Manchester Utd,26-046,1999.0,31.0,0,23,5,21.7,0.74,0.16,0.0,0.0,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
