STT,Player,Age,Squad,ETV
516,Harvey Davies,21,Liverpool,€0.6M
517,Alex McCarthy,35,Southampton,€0.6M
518,Tom King,30,Wolves,€0.6M
519,Lucas Bergström,22,Chelsea,€0.6M
520,João Virgínia,25,Everton,€0.6M
521,Tom McGill,25,Brighton,€0.5M
522,Massimo Luongo,32,Ipswich Town,€0.5M
523,Alfie Whiteman,26,Tottenham,€0.5M
524,Remi Matthews,31,Crystal Palace,€0.4M
525,Mark Gillespie,33,Newcastle Utd,€0.4M
526,Wayne Hennessey,38,Nott'ham Forest,€0.4M
527,Scott Carson,39,Manchester City,€0.4M
528,Tom Heaton,39,Manchester Utd,€0.4M
529,Ranel Young,19,Liverpool,€0.2M
530,Rento Takaoka,18,Southampton,€0.2M
531,Richard Olise,20,Chelsea,€90K
